id,title,released,popularity,average_stars,total_votes,genres,overview
610150,Dragon Ball Super: Super Hero,2022-06-11,1148.909,7.6,98,"['Animation', 'Science Fiction', 'Action']","The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family."
718930,Bullet Train,2022-07-03,1094.052,7.4,217,"['Action', 'Comedy', 'Crime']","Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train."
894169,Vendetta,2022-05-17,1029.147,6.5,127,"['Action', 'Crime', 'Thriller']","When his daughter is murdered, William Duncan takes the law into his own hands, setting out on a quest for retribution. After killing the street thug responsible for her death, he finds himself in the middle of a war with the thug's brother, father, and their gang, who are equally hell-bent on getting even. What ensues is a tense back-and-forth game of vengeance. By the end, William comes to find that the quest for revenge never has a winner."
836225,The Exorcism of God,2022-03-11,979.457,7.2,502,['Horror'],"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time."
752623,The Lost City,2022-03-24,948.737,6.8,1719,"['Action', 'Adventure', 'Comedy']","Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan, Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to the ancient city's lost treasure that featured in her latest story. Alan, determined to prove he can be a hero in real life and not just on the pages of her books, sets off to rescue her."
697799,WarHunt,2022-01-21,935.775,5.2,52,"['Action', 'Horror', 'Thriller', 'War', 'Fantasy']","1945. A U.S. military cargo plane loses control and violently crashes behind enemy lines in the middle of the German black forest. Major Johnson sends a squad of his bravest soldiers on a rescue mission to retrieve the top-secret material the plane was carrying, led by Sergeants Brewer and Walsh. They soon discover hanged Nazi soldiers and other dead bodies bearing ancient, magical symbols. Suddenly their compasses fail, their perceptions twist and straying from the group leads to profound horrors as they are attacked by a powerful, supernatural force."
791348,Constantine: The House of Mystery,2022-05-02,913.669,7.0,50,"['Animation', 'Action', 'Adventure']","John Constantine wakes up in the eerie House of Mystery with no recollection of how he got there. Fortunately, Zatanna and his friends are all there. Unfortunately, they have a bad habit of turning into demons and ripping him to shreds, over and over again!"
626735,Dog,2022-02-17,908.086,7.4,764,"['Drama', 'Comedy']",An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.
338953,Fantastic Beasts: The Secrets of Dumbledore,2022-04-06,892.837,6.9,2498,"['Fantasy', 'Adventure', 'Action']","Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers."
667739,The Man from Toronto,2022-06-24,877.858,6.5,607,"['Action', 'Comedy', 'Thriller']","In a case of mistaken identity, the world’s deadliest assassin, known as the Man from Toronto, and a New York City screw-up are forced to team up after being confused for each other at an Airbnb."
639933,The Northman,2022-04-07,861.385,7.2,2116,"['Action', 'Adventure', 'Fantasy']","Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father."
825672,Asking For It,2022-03-04,845.803,5.3,15,"['Action', 'Thriller', 'Drama']","After small town waitress Joey is sexually assaulted after a date with her old friend Mike, she befriends mysterious stranger Regina. Regina introducers her to The Cherry Bombers, an all femme gang including Beatrice, Lily, Sal, Jett, Angie, and Fala. All suffering from past traumas, together they fight a misogynistic society by targeting violent frat boys, a corrupt police force of human traffickers led by Sheriff Morel, and the dangerous alt-right group MFM (Men’s First Movement) headed by Mark Vanderhill. As Joey is drawn further into their chaotic world, Sal’s old flame, Logan County Sheriff Vernon, investigates MFM, leading to a thrilling showdown."
888195,Hot Seat,2022-07-01,840.53,6.2,37,"['Thriller', 'Action']","An ex-hacker is forced to break into high-level banking institutions, another man must try to penetrate the booby-trapped building to get the young man off the hot seat."
629015,Shut In,2022-03-24,824.917,7.2,159,"['Horror', 'Thriller']",A young single mother is held captive along with her two children by a violent ex and must plot their escape before it’s too late.
508947,Turning Red,2022-03-10,813.129,7.5,2925,"['Animation', 'Family', 'Comedy', 'Fantasy']","Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda."
1002695,Mirreyes vs. Godínez 2: El retiro,2022-07-21,790.144,7.5,51,['Comedy'],
560057,The Sea Beast,2022-06-24,768.695,7.7,609,"['Animation', 'Adventure', 'Family', 'Fantasy']",The life of a legendary sea monster hunter is turned upside down when a young girl stows away on his ship.
526896,Morbius,2022-03-30,760.316,6.5,2307,"['Action', 'Science Fiction', 'Fantasy']","Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease."
568124,Encanto,2021-11-24,745.072,7.7,7110,"['Animation', 'Comedy', 'Family', 'Fantasy']","The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope."
818397,Memory,2022-04-28,733.719,7.3,664,"['Action', 'Thriller', 'Crime']","Alex, an assassin-for-hire, finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. With the crime syndicate and FBI in hot pursuit, Alex has the skills to stay ahead, except for one thing: he is struggling with severe memory loss, affecting his every move. Alex must question his every action and whom he can ultimately trust."
335787,Uncharted,2022-02-10,730.824,7.2,3042,"['Action', 'Adventure']","A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother."
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,715.706,8.4,2602,"['Animation', 'Action', 'Adventure', 'Fantasy']","Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!"
414906,The Batman,2022-03-01,683.231,7.8,5842,"['Crime', 'Mystery', 'Thriller']","In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler."
975714,Collision,2022-06-16,663.476,6.0,106,"['Thriller', 'Crime', 'Drama']","Over the course of one fateful day, a corrupt businessman and his socialite wife race to save their daughter from a notorious crime lord."
777831,9 Bullets,2022-04-14,622.426,5.6,52,"['Action', 'Thriller']","A former burlesque dancer turned author discovers a second chance at life and redemption when she risks everything to rescue her young neighbor after he witnesses his parents’ murder. Now on the run from the local crime boss, who happens to be her longtime ex, she makes a desperate attempt to get the boy to safety."
